num_ligne,Année,UAI,Etablissement,Code région,Region,Académie,Code departement,Département,Code commune,Commune,Secteur,Présents - Toutes séries,Taux de réussite - Toutes séries,Valeur ajoutée du taux de réussite - Toutes séries,Taux d'accès 2nde-bac,Valeur ajoutée du taux d'acces 2nde-bac,Taux de mentions - Toutes séries,Valeur ajoutée du taux de mentions - Toutes séries,Présents - L,Présents - ES,Présents - S,Présents - Gnle,Présents - STI2D,Présents - STD2A,Présents - STMG,Présents - STL,Présents - ST2S,Présents - S2TMD,Présents - STHR,Taux de réussite - L,Taux de réussite - ES,Taux de réussite - S,Taux de réussite - Gnle,Taux de réussite - STI2D,Taux de réussite - STD2A,Taux de réussite - STMG,Taux de réussite - STL,Taux de réussite - ST2S,Taux de réussite - S2TMD,Taux de réussite - STHR,Valeur ajoutée du taux de réussite - L,Valeur ajoutée du taux de réussite - ES,Valeur ajoutée du taux de réussite - S,Valeur ajoutée du taux de réussite - Gnle,Valeur ajoutée du taux de réussite - STI2D,Valeur ajoutée du taux de réussite - STD2A,Valeur ajoutée du taux de réussite - STMG,Valeur ajoutée du taux de réussite - STL,Valeur ajoutée du taux de réussite - ST2S,Valeur ajoutée du taux de réussite - S2TMD,Valeur ajoutée du taux de réussite - STHR,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'accès 1ere-bac,Taux d'accès terminale-bac,Valeur ajoutée du taux d'accès 1ere-bac,Valeur ajoutée du taux d'accès terminale-bac,Taux de mentions - L,Taux de mentions - ES,Taux de mentions - S,Taux de mentions - Gnle,Taux de mentions - STI2D,Taux de mentions - STD2A,Taux de mentions - STMG,Taux de mentions - STL,Taux de mentions - ST2S,Taux de mentions - S2TMD,Taux de mentions - STHR,Valeur ajoutée du taux de mentions - L,Valeur ajoutée du taux de mentions - ES,Valeur ajoutée du taux de mentions - S,Valeur ajoutée du taux de mentions - Gnle,Valeur ajoutée du taux de mentions - STI2D,Valeur ajoutée du taux de mentions - STD2A,Valeur ajoutée du taux de mentions - STMG,Valeur ajoutée du taux de mentions - STL,Valeur ajoutée du taux de mentions - ST2S,Valeur ajoutée du taux de mentions - S2TMD,Valeur ajoutée du taux de mentions - STHR,Nombre de mentions TB avec félicitations - G,Nombre de mentions TB sans félicitations - G,Nombre de mentions B - G,Nombre de mentions AB - G,Nombre de mentions TB avec félicitations - T,Nombre de mentions TB sans félicitations - T,Nombre de mentions B - T,Nombre de mentions AB - T
466,2024,0292137R,LYCEE DIWAN,53,BRETAGNE,RENNES,29,FINISTERE,29024,CARHAIX PLOUGUER,privé sous contrat,88,98,0,93,5,81,12,,,,88,,,,,,,,,,,98,,,,,,,,,,,0,,,,,,,,69,69,81,94,100,-1,2,,,,81,,,,,,,,,,,12,,,,,,,,2,15,20,34,,,,
628,2024,0350053T,LYCEE BERTRAND D'ARGENTRE,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35360,VITRE,public,387,97,0,89,2,66,2,,,,289,,,98,,,,,,,,100,,,91,,,,,,,,2,,,-2,,,,,369,366,370,96,99,2,2,,,,75,,,38,,,,,,,,3,,,-4,,,,,4,41,72,100,,,7,30
649,2024,0352318E,LYCEE JEAN BRITO,53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35012,BAIN DE BRETAGNE,public,359,97,-1,89,1,68,-1,,,,267,,,92,,,,,,,,97,,,97,,,,,,,,-1,,,2,,,,,341,297,326,95,98,0,0,,,,74,,,52,,,,,,,,-1,,,2,,,,,1,28,73,95,,1,10,37
1005,2024,0560051B,LYCEE ALAIN RENE LESAGE,53,BRETAGNE,RENNES,56,MORBIHAN,56260,VANNES LE PRAT,public,370,96,-1,88,2,70,5,,,,305,37,,28,,,,,,,,97,95,,93,,,,,,,,-1,3,,0,,,,,354,301,311,94,97,0,0,,,,75,54,,29,,,,,,,,5,12,,-9,,,,,6,35,74,115,,,7,21
348,2024,0220117H,LYCEE SACRE-COEUR (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,22,COTES D'ARMOR,22278,SAINT BRIEUC,privé sous contrat,117,98,2,93,8,58,4,,,,28,32,,57,,,,,,,,96,100,,98,,,,,,,,-3,6,,3,,,,,97,117,120,97,99,5,3,,,,89,50,,47,,,,,,,,11,2,,2,,,,,,2,5,18,,1,11,31
447,2024,0290156M,LYCEE ST LOUIS,53,BRETAGNE,RENNES,29,FINISTERE,29026,CHATEAULIN,privé sous contrat,93,100,2,84,-4,83,13,,,,71,,,22,,,,,,,,100,,,100,,,,,,,,2,,,3,,,,,94,96,77,96,100,1,2,,,,89,,,64,,,,,,,,15,,,8,,,,,4,7,22,30,,,5,9
639,2024,0350795Z,LYCEE DE LA SALLE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35238,RENNES,privé sous contrat,72,97,0,84,1,47,-4,,,,,,,72,,,,,,,,,,,97,,,,,,,,,,,0,,,,,36,70,66,88,100,-4,4,,,,,,,47,,,,,,,,,,,-4,,,,,,,,,,,7,27
1001,2024,0560016N,LYCEE BROCELIANDE (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,56,MORBIHAN,56075,GUER,public,122,91,-5,83,-3,53,-6,,,,89,,,33,,,,,,,,94,,,82,,,,,,,,-3,,,-11,,,,,140,129,130,88,92,-5,-4,,,,62,,,30,,,,,,,,-3,,,-12,,,,,1,8,15,31,,,2,8
437,2024,0290034E,LYCEE JEAN-MARIE LE BRIS,53,BRETAGNE,RENNES,29,FINISTERE,29046,DOUARNENEZ,public,116,98,1,83,-4,62,3,,,,95,,,21,,,,,,,,98,,,100,,,,,,,,1,,,4,,,,,104,122,98,94,97,0,0,,,,63,,,57,,,,,,,,1,,,11,,,,,,11,15,34,,,3,9
618,2024,0350005R,LYCEE YVON BOURGES (GENERAL ET TECHNO.),53,BRETAGNE,RENNES,35,ILLE-ET-VILAINE,35093,DINARD,public,57,96,-3,81,-5,61,-15,,,,,,,,,,,57,,,,,,,,,,,96,,,,,,,,,,,-3,63,65,51,93,93,0,-4,,,,,,,,,,,61,,,,,,,,,,,-15,,,,,,3,14,18
